Drive already mounted at /content/drive; to attempt to forcibly remount, call drive.mount("/content/drive", force_remount=True).
done w all_ - [0, 0, 0, 0, 0, 0, 4, 4, 4, 4]
batching done
done w all_ - [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
batching done
done w all_ - [0, 6, 0, 0, 0, 0, 0, 0, 0, 0]
batching done
done w all_ - [0, 0, 0, 0, 0, 0, 4, 4, 4, 4]
batching done
done w all_ - [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
batching done
starting training....
batch 0 done - batch_loss: 1.82, batch_acc:10.00
batch 50 done - batch_loss: 0.95, batch_acc:56.67
batch 100 done - batch_loss: 0.62, batch_acc:93.33
batch 150 done - batch_loss: 0.58, batch_acc:83.33
batch 200 done - batch_loss: 0.77, batch_acc:90.00
batch 250 done - batch_loss: 0.64, batch_acc:76.67
batch 300 done - batch_loss: 0.81, batch_acc:73.33
batch 350 done - batch_loss: 0.36, batch_acc:93.33
batch 400 done - batch_loss: 0.55, batch_acc:86.67
batch 450 done - batch_loss: 0.37, batch_acc:96.67
batch 500 done - batch_loss: 0.45, batch_acc:90.00
batch 550 done - batch_loss: 1.11, batch_acc:50.00
batch 600 done - batch_loss: 1.39, batch_acc:66.67
batch 650 done - batch_loss: 0.90, batch_acc:80.00
batch 700 done - batch_loss: 0.81, batch_acc:70.00
batch 750 done - batch_loss: 0.58, batch_acc:73.33
batch 800 done - batch_loss: 0.99, batch_acc:70.00
batch 850 done - batch_loss: 0.87, batch_acc:53.33
batch 900 done - batch_loss: 0.98, batch_acc:66.67
batch 950 done - batch_loss: 0.90, batch_acc:70.00
batch 1000 done - batch_loss: 0.59, batch_acc:90.00
batch 1050 done - batch_loss: 1.42, batch_acc:73.33
batch 1100 done - batch_loss: 0.46, batch_acc:83.33
batch 1150 done - batch_loss: 0.72, batch_acc:53.33
batch 1200 done - batch_loss: 0.20, batch_acc:100.00
batch 1250 done - batch_loss: 0.57, batch_acc:86.67
batch 1300 done - batch_loss: 0.28, batch_acc:93.33
batch 1350 done - batch_loss: 0.52, batch_acc:80.00
batch 1400 done - batch_loss: 0.67, batch_acc:80.00
batch 1450 done - batch_loss: 0.10, batch_acc:100.00
batch 1500 done - batch_loss: 0.39, batch_acc:83.33
batch 1550 done - batch_loss: 0.36, batch_acc:90.00
batch 1600 done - batch_loss: 0.36, batch_acc:90.00
batch 1650 done - batch_loss: 0.16, batch_acc:93.33
batch 1700 done - batch_loss: 1.37, batch_acc:70.00
batch 1750 done - batch_loss: 0.47, batch_acc:86.67
batch 1800 done - batch_loss: 0.26, batch_acc:93.33
batch 1850 done - batch_loss: 0.22, batch_acc:93.33
batch 1900 done - batch_loss: 0.42, batch_acc:86.67
batch 1950 done - batch_loss: 0.29, batch_acc:93.33
batch 2000 done - batch_loss: 0.34, batch_acc:90.00
batch 2050 done - batch_loss: 0.21, batch_acc:93.33
batch 2100 done - batch_loss: 0.45, batch_acc:83.33
batch 2150 done - batch_loss: 0.30, batch_acc:86.67
batch 2200 done - batch_loss: 0.28, batch_acc:93.33
batch 2250 done - batch_loss: 0.37, batch_acc:90.00
batch 2300 done - batch_loss: 0.10, batch_acc:100.00
batch 2350 done - batch_loss: 0.54, batch_acc:80.00
batch 2400 done - batch_loss: 0.41, batch_acc:83.33
batch 2450 done - batch_loss: 0.18, batch_acc:96.67
batch 2500 done - batch_loss: 0.31, batch_acc:90.00
batch 2550 done - batch_loss: 0.19, batch_acc:90.00
batch 2600 done - batch_loss: 1.04, batch_acc:73.33
batch 2650 done - batch_loss: 0.61, batch_acc:80.00
batch 2700 done - batch_loss: 0.39, batch_acc:83.33
batch 2750 done - batch_loss: 0.39, batch_acc:90.00
batch 2800 done - batch_loss: 0.29, batch_acc:90.00
batch 2850 done - batch_loss: 0.17, batch_acc:93.33
batch 2900 done - batch_loss: 0.16, batch_acc:93.33
starting validation....
training - epoch:0, avg_loss:0.55, avg_acc:82.74
val - epoch:0, avg_loss:0.36, avg_acc:88.35
batch 0 done - batch_loss: 0.41, batch_acc:86.67
batch 50 done - batch_loss: 0.85, batch_acc:56.67
batch 100 done - batch_loss: 0.55, batch_acc:83.33
batch 150 done - batch_loss: 0.39, batch_acc:90.00
batch 200 done - batch_loss: 0.79, batch_acc:86.67
batch 250 done - batch_loss: 0.44, batch_acc:80.00
batch 300 done - batch_loss: 0.66, batch_acc:73.33
batch 350 done - batch_loss: 0.21, batch_acc:96.67
batch 400 done - batch_loss: 0.43, batch_acc:86.67
batch 450 done - batch_loss: 0.29, batch_acc:96.67
batch 500 done - batch_loss: 0.43, batch_acc:86.67
batch 550 done - batch_loss: 1.07, batch_acc:50.00
batch 600 done - batch_loss: 1.03, batch_acc:70.00
batch 650 done - batch_loss: 0.92, batch_acc:80.00
batch 700 done - batch_loss: 0.73, batch_acc:73.33
batch 750 done - batch_loss: 0.54, batch_acc:73.33
batch 800 done - batch_loss: 1.02, batch_acc:63.33
batch 850 done - batch_loss: 0.80, batch_acc:70.00
batch 900 done - batch_loss: 0.79, batch_acc:66.67
batch 950 done - batch_loss: 0.90, batch_acc:70.00
batch 1000 done - batch_loss: 0.48, batch_acc:80.00
batch 1050 done - batch_loss: 1.29, batch_acc:73.33
batch 1100 done - batch_loss: 0.43, batch_acc:80.00
batch 1150 done - batch_loss: 0.65, batch_acc:60.00
batch 1200 done - batch_loss: 0.21, batch_acc:100.00
batch 1250 done - batch_loss: 0.50, batch_acc:90.00
batch 1300 done - batch_loss: 0.24, batch_acc:96.67
batch 1350 done - batch_loss: 0.50, batch_acc:76.67
batch 1400 done - batch_loss: 0.66, batch_acc:76.67
batch 1450 done - batch_loss: 0.08, batch_acc:100.00
batch 1500 done - batch_loss: 0.42, batch_acc:80.00
batch 1550 done - batch_loss: 0.23, batch_acc:93.33
batch 1600 done - batch_loss: 0.35, batch_acc:93.33
batch 1650 done - batch_loss: 0.15, batch_acc:100.00
batch 1700 done - batch_loss: 1.33, batch_acc:70.00
batch 1750 done - batch_loss: 0.36, batch_acc:90.00
batch 1800 done - batch_loss: 0.20, batch_acc:93.33
batch 1850 done - batch_loss: 0.16, batch_acc:93.33
batch 1900 done - batch_loss: 0.20, batch_acc:86.67
batch 1950 done - batch_loss: 0.23, batch_acc:93.33
batch 2000 done - batch_loss: 0.23, batch_acc:90.00
batch 2050 done - batch_loss: 0.15, batch_acc:93.33
batch 2100 done - batch_loss: 0.25, batch_acc:93.33
batch 2150 done - batch_loss: 0.21, batch_acc:90.00
batch 2200 done - batch_loss: 0.30, batch_acc:93.33
batch 2250 done - batch_loss: 0.18, batch_acc:96.67
batch 2300 done - batch_loss: 0.06, batch_acc:100.00
batch 2350 done - batch_loss: 0.47, batch_acc:83.33
batch 2400 done - batch_loss: 0.30, batch_acc:90.00
batch 2450 done - batch_loss: 0.17, batch_acc:93.33
batch 2500 done - batch_loss: 0.27, batch_acc:90.00
batch 2550 done - batch_loss: 0.12, batch_acc:90.00
batch 2600 done - batch_loss: 0.88, batch_acc:80.00
batch 2650 done - batch_loss: 0.64, batch_acc:76.67
batch 2700 done - batch_loss: 0.25, batch_acc:93.33
batch 2750 done - batch_loss: 0.34, batch_acc:93.33
batch 2800 done - batch_loss: 0.19, batch_acc:93.33
batch 2850 done - batch_loss: 0.14, batch_acc:96.67
batch 2900 done - batch_loss: 0.13, batch_acc:93.33
starting validation....
training - epoch:1, avg_loss:0.48, avg_acc:83.88
val - epoch:1, avg_loss:0.33, avg_acc:89.07
batch 0 done - batch_loss: 0.34, batch_acc:90.00
batch 50 done - batch_loss: 0.82, batch_acc:60.00
batch 100 done - batch_loss: 0.48, batch_acc:83.33
batch 150 done - batch_loss: 0.37, batch_acc:90.00
batch 200 done - batch_loss: 0.74, batch_acc:83.33
batch 250 done - batch_loss: 0.36, batch_acc:86.67
batch 300 done - batch_loss: 0.65, batch_acc:70.00
batch 350 done - batch_loss: 0.20, batch_acc:96.67
batch 400 done - batch_loss: 0.38, batch_acc:90.00
batch 450 done - batch_loss: 0.29, batch_acc:93.33
batch 500 done - batch_loss: 0.37, batch_acc:93.33
batch 550 done - batch_loss: 0.92, batch_acc:53.33
batch 600 done - batch_loss: 0.98, batch_acc:66.67
batch 650 done - batch_loss: 0.91, batch_acc:80.00
batch 700 done - batch_loss: 0.70, batch_acc:73.33
batch 750 done - batch_loss: 0.52, batch_acc:70.00
batch 800 done - batch_loss: 0.93, batch_acc:60.00
batch 850 done - batch_loss: 0.80, batch_acc:70.00
batch 900 done - batch_loss: 0.75, batch_acc:70.00
batch 950 done - batch_loss: 0.84, batch_acc:66.67
batch 1000 done - batch_loss: 0.41, batch_acc:83.33
batch 1050 done - batch_loss: 1.28, batch_acc:70.00
batch 1100 done - batch_loss: 0.36, batch_acc:86.67
batch 1150 done - batch_loss: 0.64, batch_acc:66.67
batch 1200 done - batch_loss: 0.20, batch_acc:96.67
batch 1250 done - batch_loss: 0.47, batch_acc:90.00
batch 1300 done - batch_loss: 0.20, batch_acc:96.67
batch 1350 done - batch_loss: 0.47, batch_acc:76.67
batch 1400 done - batch_loss: 0.64, batch_acc:83.33
batch 1450 done - batch_loss: 0.11, batch_acc:100.00
batch 1500 done - batch_loss: 0.41, batch_acc:80.00
batch 1550 done - batch_loss: 0.22, batch_acc:86.67
batch 1600 done - batch_loss: 0.38, batch_acc:93.33
batch 1650 done - batch_loss: 0.15, batch_acc:96.67
batch 1700 done - batch_loss: 1.24, batch_acc:70.00
batch 1750 done - batch_loss: 0.31, batch_acc:93.33
batch 1800 done - batch_loss: 0.20, batch_acc:93.33
batch 1850 done - batch_loss: 0.15, batch_acc:93.33
batch 1900 done - batch_loss: 0.18, batch_acc:93.33
batch 1950 done - batch_loss: 0.20, batch_acc:93.33
batch 2000 done - batch_loss: 0.22, batch_acc:90.00
batch 2050 done - batch_loss: 0.13, batch_acc:93.33
batch 2100 done - batch_loss: 0.20, batch_acc:93.33
batch 2150 done - batch_loss: 0.17, batch_acc:90.00
batch 2200 done - batch_loss: 0.31, batch_acc:96.67
batch 2250 done - batch_loss: 0.17, batch_acc:93.33
batch 2300 done - batch_loss: 0.04, batch_acc:100.00
batch 2350 done - batch_loss: 0.43, batch_acc:83.33
batch 2400 done - batch_loss: 0.26, batch_acc:93.33
batch 2450 done - batch_loss: 0.18, batch_acc:90.00
batch 2500 done - batch_loss: 0.25, batch_acc:90.00
batch 2550 done - batch_loss: 0.11, batch_acc:93.33
batch 2600 done - batch_loss: 0.90, batch_acc:80.00
batch 2650 done - batch_loss: 0.62, batch_acc:80.00
batch 2700 done - batch_loss: 0.24, batch_acc:93.33
batch 2750 done - batch_loss: 0.29, batch_acc:93.33
batch 2800 done - batch_loss: 0.17, batch_acc:93.33
batch 2850 done - batch_loss: 0.14, batch_acc:96.67
batch 2900 done - batch_loss: 0.13, batch_acc:93.33
starting validation....
training - epoch:2, avg_loss:0.45, avg_acc:84.69
val - epoch:2, avg_loss:0.32, avg_acc:89.32
batch 0 done - batch_loss: 0.33, batch_acc:90.00
batch 50 done - batch_loss: 0.78, batch_acc:63.33
batch 100 done - batch_loss: 0.45, batch_acc:86.67
batch 150 done - batch_loss: 0.37, batch_acc:90.00
batch 200 done - batch_loss: 0.69, batch_acc:83.33
batch 250 done - batch_loss: 0.32, batch_acc:90.00
batch 300 done - batch_loss: 0.59, batch_acc:70.00
batch 350 done - batch_loss: 0.21, batch_acc:96.67
batch 400 done - batch_loss: 0.35, batch_acc:93.33
batch 450 done - batch_loss: 0.27, batch_acc:93.33
batch 500 done - batch_loss: 0.30, batch_acc:93.33
batch 550 done - batch_loss: 0.83, batch_acc:63.33
batch 600 done - batch_loss: 0.96, batch_acc:70.00
batch 650 done - batch_loss: 0.89, batch_acc:76.67
